Country,Series,Year,GDP per capita
Africa Eastern and Southern,GDP per capita (current US$),1960,162.7263255
,,1961,162.5559676
,,1962,172.2710222
,,1963,199.7849158
,,1964,180.2287741
,,1965,199.5172275
,,1966,211.0543884
,,1967,213.6365987
,,1968,226.6213203
,,1969,252.5686353
,,1970,263.4990373
,,1971,282.5749258
,,1972,297.0717414
,,1973,375.4562706
,,1974,451.0346883
,,1975,466.6217712
,,1976,450.6525888
,,1977,496.730542
,,1978,538.0692565
,,1979,610.0895644
,,1980,750.769347
,,1981,745.057665
,,1982,694.0535855
,,1983,704.8988953
,,1984,626.6736852
,,1985,517.9228854
,,1986,562.6941823
,,1987,666.7441266
,,1988,709.9917272
,,1989,734.8665061
,,1990,831.2020193
,,1991,872.3913056
,,1992,739.3036501
,,1993,714.0099488
,,1994,705.4472648
,,1995,771.2599801
,,1996,747.7671031
,,1997,765.8900614
,,1998,703.0288889
,,1999,675.7398763
,,2000,713.1778996
,,2001,633.5484786
,,2002,631.8101821
,,2003,819.6659201
,,2004,993.6681063
,,2005,1129.701204
,,2006,1236.994113
,,2007,1382.737442
,,2008,1442.031012
,,2009,1425.307168
,,2010,1659.654922
,,2011,1810.229164
,,2012,1777.30395
,,2013,1748.905594
,,2014,1736.24222
,,2015,1556.316469
,,2016,1446.533624
,,2017,1629.404273
,,2018,1541.031661
,,2019,1511.309259
,,2020,1360.878645
,,2021,1557.722682
Africa Western and Central,GDP per capita (current US$),1960,107.9307217
,,1961,113.0800619
,,1962,118.8294606
,,1963,123.4410895
,,1964,131.8524227
,,1965,138.524029
,,1966,144.3238818
,,1967,128.578957
,,1968,129.6410925
,,1969,143.7156166
,,1970,195.4335438
,,1971,169.1190831
,,1972,200.1683855
,,1973,241.7114051
,,1974,333.1924587
,,1975,377.7880069
,,1976,444.3743742
,,1977,454.7901187
,,1978,482.4774366
,,1979,584.3739264
,,1980,718.6917964
,,1981,1316.931512
,,1982,1136.462411
,,1983,815.9007357
,,1984,656.7127693
,,1985,651.5099725
,,1986,584.9072796
,,1987,584.1192734
,,1988,561.3614685
,,1989,510.4191121
,,1990,594.7257168
,,1991,558.4357664
,,1992,547.6629473
,,1993,445.6560452
,,1994,378.9403765
,,1995,462.8647977
,,1996,523.7634172
,,1997,515.2345409
,,1998,513.6424638
,,1999,528.5806067
,,2000,525.4588961
,,2001,539.3387351
,,2002,627.7904856
,,2003,706.963981
,,2004,854.5145724
,,2005,1016.486438
,,2006,1252.622304
,,2007,1430.839107
,,2008,1707.438434
,,2009,1486.711025
,,2010,1687.588526
,,2011,1862.365107
,,2012,1965.11575
,,2013,2157.494584
,,2014,2212.914095
,,2015,1894.322115
,,2016,1673.843681
,,2017,1613.490478
,,2018,1704.135698
,,2019,1777.852822
,,2020,1709.764129
,,2021,1774.921218
Arab World,GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,
,,1967,
,,1968,304.1605183
,,1969,322.2226975
,,1970,354.3111494
,,1971,398.2088017
,,1972,461.7582903
,,1973,569.9861156
,,1974,1050.488494
,,1975,1127.600549
,,1976,1360.714749
,,1977,1521.694208
,,1978,1616.439791
,,1979,2126.800962
,,1980,2796.55226
,,1981,2793.331402
,,1982,2536.999792
,,1983,2318.281359
,,1984,2289.35137
,,1985,2188.888006
,,1986,2062.378137
,,1987,2169.576045
,,1988,2034.09791
,,1989,2122.543407
,,1990,2892.697861
,,1991,2061.480923
,,1992,2033.922796
,,1993,2017.897763
,,1994,2068.7366
,,1995,2196.934452
,,1996,2371.40464
,,1997,2501.000175
,,1998,2381.946705
,,1999,2579.069902
,,2000,2890.16922
,,2001,2768.446111
,,2002,2725.554628
,,2003,2948.572988
,,2004,3430.913519
,,2005,4120.758814
,,2006,4770.610863
,,2007,5419.599572
,,2008,6660.069689
,,2009,5708.709286
,,2010,6556.987974
,,2011,7016.136647
,,2012,7479.254085
,,2013,7465.455471
,,2014,7414.312109
,,2015,6359.900578
,,2016,6177.227235
,,2017,6272.949782
,,2018,6635.381394
,,2019,6562.969998
,,2020,5724.28687
,,2021,6412.38921
Caribbean small states,GDP per capita (current US$),1960,448.2564174
,,1961,476.9014839
,,1962,494.7363719
,,1963,516.739524
,,1964,547.9505273
,,1965,580.944136
,,1966,621.4347271
,,1967,658.3508984
,,1968,645.9283073
,,1969,695.0389817
,,1970,755.1445594
,,1971,811.131747
,,1972,925.5275345
,,1973,1000.862363
,,1974,1285.493303
,,1975,1485.161329
,,1976,1511.874938
,,1977,1736.749154
,,1978,1759.82502
,,1979,1999.188487
,,1980,2461.655884
,,1981,2683.655224
,,1982,2940.212791
,,1983,2942.719169
,,1984,2778.893347
,,1985,2722.828275
,,1986,2466.299099
,,1987,2633.116445
,,1988,2775.622222
,,1989,2827.688623
,,1990,2997.319563
,,1991,2951.059638
,,1992,2875.189721
,,1993,3084.660831
,,1994,3214.05181
,,1995,3514.100743
,,1996,3803.623288
,,1997,4421.507074
,,1998,4690.20395
,,1999,4938.52388
,,2000,5258.30631
,,2001,5379.459475
