year,france,germany,france_pred,france_error,germany_pred,germany_error
1970,148456000000,215838000000,-16360477696,164816470016,21781407744,194056585216
1971,165967000000,249985000000,43439308800,122527694848,103175593984,146809405440
1972,203494000000,299802000000,103239098368,100254900224,184569774080,115232227328
1973,264430000000,398374000000,163038887936,101391114240,265963962368,132410040320
1974,285552000000,445303000000,222838669312,62713331712,347358167040,97944829952
1975,360832000000,490637000000,282638450688,78193549312,428752338944,61884661760
1976,372319000000,519754000000,342438248448,29880752128,510146543616,9607456768
1977,410279000000,600498000000,402238046208,8040953856,591540715520,8957284352
1978,506708000000,740470000000,462037811200,44670189568,672934920192,67535081472
1979,613953000000,881345000000,521837608960,92115394560,754329059328,127015944192
1980,701288000000,950291000000,581637373952,119650623488,835723264000,114567733248
1981,615552000000,800472000000,641437204480,-25885204480,917117468672,-116645470208
1982,584878000000,776576000000,701236969472,-116358971392,998511673344,-221935665152
1983,559869000000,770684000000,761036734464,-201167732736,1079905812480,-309221818368
1984,530684000000,725111000000,820836564992,-290152579072,1161300017152,-436189003776
1985,553138000000,732535000000,880636329984,-327498334208,1242694156288,-510159159296
1986,771471000000,1046260000000,940436094976,-168965095424,1324088426496,-277828435968
1987,934173000000,1298180000000,1000235925504,-66062925824,1405482565632,-107302567936
1988,1018850000000,1401230000000,1060035690496,-41185689600,1486876835840,-85646835712
1989,1025210000000,1398970000000,1119835521024,-94625521664,1568270974976,-169300967424
1990,1269180000000,1771670000000,1179635286016,89544712192,1649665114112,122004889600
1991,1269280000000,1868950000000,1239435051008,29844948992,1731059384320,137890611200
1992,1401470000000,2131570000000,1299234816000,102235185152,1812453523456,319116476416
1993,1322820000000,2071320000000,1359034580992,-36214579200,1893847662592,177472339968
1994,1393980000000,2205070000000,1418834477056,-24854476800,1975241932800,229828067328
1995,1601090000000,2585790000000,1478634242048,122455760896,2056636071936,529153916928
1996,1605680000000,2497240000000,1538434007040,67245993984,2138030211072,359209795584
1997,1452880000000,2211990000000,1598233772032,-145353768960,2219424350208,-7434350080
1998,1503110000000,2238990000000,1658033537024,-154923532288,2300818751488,-61828751360
1999,1493150000000,2194950000000,1717833302016,-224683294720,2382212890624,-187262894080
2000,1365640000000,1947980000000,1777633198080,-411993210880,2463607029760,-515627024384
2001,1377660000000,1945790000000,1837432963072,-459772952576,2545001168896,-599211180032
2002,1501410000000,2078480000000,1897232728064,-395822727168,2626395308032,-547915300864
2003,1844540000000,2501640000000,1957032493056,-112492494848,2707789447168,-206149451776
2004,2119630000000,2814350000000,2016832258048,102797737984,2789183848448,25166151680
2005,2196950000000,2846860000000,2076632023040,120317976576,2870577987584,-23717988352
2006,2320540000000,2994700000000,2136431919104,184108072960,2951972126720,42727874560
2007,2660590000000,3425580000000,2196231684096,464358309888,3033366265856,392213725184
2008,2930300000000,3745260000000,2256031449088,674268577792,3114760404992,630499573760
2009,2700890000000,3411260000000,2315831214080,385058799616,3196154806272,215105191936
2010,2645190000000,3399670000000,2375630979072,269559021568,3277548945408,122121052160
2011,2865160000000,3749310000000,2435430744064,429729251328,3358943084544,390366920704
2012,2683670000000,3527140000000,2495230509056,188439494656,3440337223680,86802776064
2013,2811880000000,3733800000000,2555030274048,256849723392,3521731362816,212068630528
2014,2855960000000,3889090000000,2614830039040,241129963520,3603125501952,285964500992
2015,2439190000000,3357590000000,2674630066176,-235440062464,3684519903232,-326929907712
2016,2472960000000,3469850000000,2734429831168,-261469831168,3765914042368,-296064057344
2017,2595150000000,3690850000000,2794229596160,-199079591936,3847308181504,-156458188800
2018,2790960000000,3974440000000,2854029361152,-63069360128,3928702320640,45737680896
2019,2728870000000,3888230000000,2913829126144,-184959123456,4010096459776,-121866461184
2020,2639010000000,3889670000000,2973628891136,-334618886144,4091490861056,-201820864512
2021,2957880000000,4259930000000,3033428656128,-75548655616,4172885000192,87044997120
