Country,Social protection,Population,GDP
Belgium,32.7,11522440,459826
Bulgaria,18.7,6951482,61639
Czechia,22.0,10693939,215805
Denmark,32.9,5822763,311760
Germany (until 1990 former territory of the FRG),33.0,83166711,3405430
Estonia,19.2,1328976,27465
Ireland,15.5,4964440,372836
Greece,29.4,10718565,165406
Spain,30.0,47332614,1117989
France,38.1,67485531,2310469
Croatia,24.1,4058165,50425
Italy,34.3,59641488,1660621
Cyprus,24.1,888005,21895
Latvia,17.4,1907675,30294
Lithuania,19.5,2794090,49770
Luxembourg,24.2,626108,64781
