DATE,Gini
1974-01-01,35.3
1975-01-01,.
1976-01-01,.
1977-01-01,.
1978-01-01,.
1979-01-01,34.5
1980-01-01,.
1981-01-01,.
1982-01-01,.
1983-01-01,.
1984-01-01,.
1985-01-01,.
1986-01-01,37.4
1987-01-01,.
1988-01-01,.
1989-01-01,.
1990-01-01,.
1991-01-01,38
1992-01-01,38.4
1993-01-01,40.4
1994-01-01,40
1995-01-01,39.9
1996-01-01,40.3
1997-01-01,40.5
1998-01-01,40
1999-01-01,40
2000-01-01,40.1
2001-01-01,40.6
2002-01-01,40.4
2003-01-01,40.8
2004-01-01,40.3
2005-01-01,41
2006-01-01,41.4
2007-01-01,40.8
2008-01-01,40.8
2009-01-01,40.6
2010-01-01,40
2011-01-01,40.9
2012-01-01,40.9
2013-01-01,40.7
2014-01-01,41.5
2015-01-01,41.2
2016-01-01,41.1
2017-01-01,41.2
2018-01-01,41.4
2019-01-01,41.5
