Country,Indicator ,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,GDP per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,6474.364948,7886.889893,9769.584174,11395.97802,12305.38791,13494.68516,14048.34727,14942.27496,16241.57559,16441.79064,16583.00307,17926.78263,19080.69579,19356.52606,20614.79935,20417.77596,20654.48852,21070.07172,22834.28465,23591.15984,24495.01539,26452.23195,28048.15177,25170.83236,24134.47386,25849.96401,25496.84394,26442.4268,26895.05717,28399.05013,28453.71556,29348.41897,30253.71423,31135.88436,23384.29879,
Africa Eastern and Southern,GDP per capita (current US$),162.7263255,162.5559676,172.2710222,199.7849158,180.2287741,199.5172275,211.0543884,213.6365987,226.6213203,252.5686353,263.4990373,282.5749258,297.0717414,375.4562706,451.0346883,466.6217712,450.6525888,496.730542,538.0692565,610.0895644,750.769347,745.057665,694.0535855,704.8988953,626.6736852,517.9228854,562.6941823,666.7441266,709.9917272,734.8665061,831.2020193,872.3913056,739.3036501,714.0099488,705.4472648,771.2599801,747.7671031,765.8900614,703.0288889,675.7398763,713.1778996,633.5484786,631.8101821,819.6659201,993.6681063,1129.701204,1236.994113,1382.737442,1442.031012,1425.307168,1659.654922,1810.229164,1777.30395,1748.905594,1736.24222,1556.316469,1446.533624,1629.404273,1541.031661,1511.309259,1360.878645,1557.722682
Afghanistan,GDP per capita (current US$),59.7732337,59.86089999,58.4580087,78.70642878,82.09530653,101.1083252,137.594298,160.8984342,129.108311,129.3297604,156.5187713,159.567509,135.317228,143.1446495,173.6536247,186.5108383,197.4455076,224.2250016,247.3540878,275.7381154,272.6555102,264.1111971,,,,,,,,,,,,,,,,,,,,,179.4265792,190.6838143,211.3820742,242.0313132,263.7336019,359.6931579,364.663542,437.2687402,543.3065262,591.1900302,638.8458516,624.3154545,614.2233424,556.0072209,512.0127781,516.6798622,485.6684187,494.1793499,516.7478708,
Africa Western and Central,GDP per capita (current US$),107.9307217,113.0800619,118.8294606,123.4410895,131.8524227,138.524029,144.3238818,128.578957,129.6410925,143.7156166,195.4335438,169.1190831,200.1683855,241.7114051,333.1924587,377.7880069,444.3743742,454.7901187,482.4774366,584.3739264,718.6917964,1316.931512,1136.462411,815.9007357,656.7127693,651.5099725,584.9072796,584.1192734,561.3614685,510.4191121,594.7257168,558.4357664,547.6629473,445.6560452,378.9403765,462.8647977,523.7634172,515.2345409,513.6424638,528.5806067,525.4588961,539.3387351,627.7904856,706.963981,854.5145724,1016.486438,1252.622304,1430.839107,1707.438434,1486.711025,1687.588526,1862.365107,1965.11575,2157.494584,2212.914095,1894.322115,1673.843681,1613.490478,1704.135698,1777.852822,1709.764129,1774.921218
Angola,GDP per capita (current US$),,,,,,,,,,,,,,,,,,,,,710.9815629,642.3814789,619.9599034,623.4400473,637.715098,758.2378806,685.2697533,756.2620653,792.3030486,890.5535922,947.7042621,865.6927296,656.3620152,441.200842,328.6731487,397.1794793,522.6436984,514.2951541,423.5936878,387.7842672,556.8361822,527.3335285,872.4944418,982.9609819,1255.564238,1902.42215,2599.565948,3121.996085,4080.941015,3122.781743,3497.974488,4518.31335,4978.434435,5127.717243,5094.112329,3127.890598,1728.023754,2313.220584,2524.942483,2177.799015,1631.431691,2137.909393
Albania,GDP per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,639.4847358,639.8659094,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4163396,750.6044492,1009.977275,717.3800477,813.7893966,1033.242532,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.786584,2972.742924,3595.038057,4370.539925,4114.134899,4094.348386,4437.142612,4247.630047,4413.062005,4578.633208,3952.802538,4124.05539,4531.019374,5287.663694,5396.215864,5332.160475,6494.385713
Andorra,GDP per capita (current US$),,,,,,,,,,,3238.690261,3496.532023,4218.271599,5342.16856,6320.809632,7169.101006,7151.249909,7751.843307,9127.81228,11818.47334,12378.78451,10372.78605,9610.020616,8025.207641,7728.906695,7775.614217,10361.14777,12615.12618,14304.6406,15165.28126,18878.85231,19534.26363,20549.80558,16515.6584,16235.06804,18458.17399,19016.28819,18355.62786,18895.11066,19262.30899,21854.2468,22970.51221,25067.24006,32272.84589,37966.18725,40064.22493,42674.75897,47804.84993,48719.65877,43504.21565,40849.76128,43333.97304,38684.56653,39538.35521,41302.38214,35770.91865,37474.74584,38964.66201,41793.31884,40898.41791,37416.69772,43047.68627
Arab World,GDP per capita (current US$),,,,,,,,,304.1605183,322.2226975,354.3111494,398.2088017,461.7582903,569.9861156,1050.488494,1127.600549,1360.714749,1521.694208,1616.439791,2126.800962,2796.55226,2793.331402,2536.999792,2318.281359,2289.35137,2188.888006,2062.378137,2169.576045,2034.09791,2122.543407,2892.697861,2061.480923,2033.922796,2017.897763,2068.7366,2196.934452,2371.40464,2501.000175,2381.946705,2579.069902,2890.16922,2768.446111,2725.554628,2948.572988,3430.913519,4120.758814,4770.610863,5419.599572,6660.069689,5708.709286,6556.987974,7016.136647,7479.254085,7465.455471,7414.312109,6359.900578,6177.227235,6272.949782,6635.381394,6562.969998,5724.28687,6412.38921
United Arab Emirates,GDP per capita (current US$),,,,,,,,,,,,,,,,26848.08818,30117.94893,33823.18166,28457.07803,33512.63342,42764.54056,44987.53799,40025.82262,34843.15963,32309.83271,29720.89772,23467.87932,23726.30705,22295.11871,24028.2625,27729.39059,26612.25311,26420.85988,25596.73939,25848.01625,27221.93441,28975.07996,29512.67479,26899.60177,28470.88586,33291.36625,31280.75586,31567.54631,33499.10278,36333.18733,39365.45964,41907.42147,41809.46216,44498.94051,32024.19778,33893.27725,39194.67527,40976.49642,42412.63649,43751.81731,38663.38826,38141.87689,40644.79119,43839.32449,42701.44305,36284.55524,
Argentina,GDP per capita (current US$),,,1155.890717,850.3045786,1173.238105,1279.113778,1272.803204,1062.543412,1141.080432,1329.058546,1322.590638,1372.374174,1408.86538,2097.02283,2844.863312,2027.337202,1948.224686,2129.708361,2146.364959,2520.920716,2758.834816,2776.322088,2927.897357,3553.377509,2659.708242,2926.126485,3613.621709,3562.876059,3985.192469,2383.867471,4333.483372,5735.359981,6823.538837,6969.119729,7483.140334,7408.708664,7721.354105,8213.125127,8289.507568,7774.736203,7708.099115,7208.373114,2593.404563,3349.8063,4277.721573,5109.852245,5919.012338,7245.446857,9020.873323,8225.137583,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11795.15939,10076.35524,8585.694742,10729.23258
Armenia,GDP per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.8559212,590.5058756,369.7072323,357.2028486,400.5155938,456.3749333,504.0598426,523.2844107,609.1716537,597.4328988,622.7409229,694.4234554,783.241215,930.1254727,1191.921006,1643.756889,2158.148074,3139.28071,4010.861381,2994.340471,3218.378299,3525.807198,3681.844691,3838.17388,3986.231624,3607.289299,3591.828052,3914.527854,4220.540321,4604.646324,4266.018074,4670.008798
American Samoa,GDP per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8666.655382,8807.462812,8528.248777,8395.31877,8340.52344,8874.877928,9740.824491,11910.01323,10216.81763,10223.29836,11496.5241,11450.7242,11525.15639,12059.63516,12038.2497,11003.82976,11521.60978,11715.36014,12844.90099,
Antigua and Barbuda,GDP per capita (current US$),,,,,,,,,,,,,,,,,,1246.69016,1416.540531,1760.831324,2124.618526,2392.686958,2660.558091,2948.317275,3372.60207,3899.39184,4703.179401,5463.595383,6454.835451,7076.536335,7347.646369,7602.345334,7745.7218,8136.188547,8771.143727,8406.358945,9030.574978,9491.660766,9940.852228,10260.59941,10872.29295,10367.31961,10401.05088,10797.95106,11446.96914,12557.54785,13995.80442,15622.69287,16044.1058,14160.562,13048.96058,12746.63347,13272.73494,12910.59063,13501.58092,14285.32978,15198.74297,15383.5764,16679.59166,17376.64968,13992.74448,14900.7974
