,country,g70-85,gini70_income
0,Australia,0.02957,0.3185
1,Bangladesh,0.03554,0.29
2,Brazil,0.06353,0.59
3,Canada,0.04865,0.3333
4,Chile,0.03249,0.46
5,Colombia,0.04155,0.57
6,Costa Rica,0.032,0.43
7,Denmark,0.04323,0.3673
8,Egypt,0.02874,0.4
9,El Salvador,0.0179,0.4
10,Fiji,0.04367,0.425
11,Finland,0.04523,0.4729
12,France,0.0432,0.5176
13,Germany,0.04425,0.3939
14,Greece,0.0326,0.3814
15,Honduras,7.00E-05,0.62
16,Hong Kong,0.0991,0.43
17,India,0.03244,0.4647
18,Indonesia,0.07561,0.307
19,Iran,0.05177,0.5018
20,Israel,0.03863,0.384
21,Jamaica,-0.00406,0.628
22,Japan,0.05173,0.4223
23,Korea,0.06522,0.333
24,Malaysia,0.06526,0.5
25,Mexico,0.04387,0.58
26,Nepal,0.02416,0.53
27,Netherlands,0.04118,0.4493
28,New Zealand,0.04208,0.3135
29,Norway,0.06643,0.3622
30,Pakistan,0.04571,0.331
31,Panama,0.03038,0.57
32,Philippines,0.03532,0.453
33,Sierra Leone,-0.0167,0.59
34,Singapore,0.10425,0.4
35,South Africa,0.03504,0.5813
36,Spain,0.04402,0.393
37,Sri Lanka,0.04466,0.35
38,Sweden,0.03155,0.3872
39,Taiwan,0.06548,0.277
40,Thailand,0.0563,0.429
41,Trinidad & Tobago,0.05673,0.539
42,Tunisia,0.04485,0.404
43,Turkey,0.03738,0.56
44,UK,0.04605,0.3385
45,USA,0.0406,0.4018
46,Argentina,0.01493,0.4111
47,Barbados,0.05152,0.369
48,Botswana,0.05725,0.574
49,Burma,0.03525,0.3806
50,Chad,-0.03293,0.3687
51,Cote d'Ivoire,-0.00691,0.4556
52,Cyprus,0.05487,0.3182
53,Dominican Republic,0.0288,0.4928
54,Ecuador,0.059,0.6826
55,Gabon,0.01608,0.6439
56,Guatemala,0.02212,0.2996
57,Guyana,0.00502,0.4192
58,Iraq,0.03581,0.6288
59,Kenya,0.02068,0.6368
60,Malawi,0.02591,0.4696
61,Peru,0.01654,0.5941
62,Senegal,-0.00768,0.5874
63,Sudan,-0.02032,0.446
64,Surinam,0.03652,0.3243
65,Tanzania,-0.00649,0.5973
66,Uruguay,0.01689,0.4279
67,Venezuela,-0.00206,0.5445
68,Zambia,-0.01317,0.5226
69,Zimbabwe,-0.00066,0.6627
